Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-29,148.222,150.956,147.146,150.47,124300,0.0,0.0
2019-10-30,150.48,150.813,149.07,150.337,177200,0.0,0.0
2019-10-31,149.784,150.07,148.136,149.365,341100,0.0,0.0
2019-11-01,150.403,152.69,150.07,152.423,250300,0.0,0.0
2019-11-04,153.509,155.328,153.08,154.795,301200,0.0,0.0
2019-11-05,155.299,156.614,154.575,156.566,181900,0.0,0.0
2019-11-06,155.509,155.928,154.461,154.842,170700,0.0,0.0
2019-11-07,156.185,157.262,155.48,156.519,170600,0.0,0.0
2019-11-08,156.3,156.547,154.68,155.442,220400,0.0,0.0
2019-11-11,154.395,156.938,154.09,156.785,118300,0.0,0.0
2019-11-12,157.014,157.443,155.471,156.642,141100,0.0,0.0
2019-11-13,155.699,156.309,153.937,155.223,175900,0.0,0.0
2019-11-14,154.709,155.671,154.166,154.918,209700,0.0,0.0
2019-11-15,155.719,156.538,154.995,155.519,140200,0.0,0.0
2019-11-18,155.357,157.128,154.185,156.671,149400,0.0,0.0
2019-11-19,156.166,157.738,154.242,157.09,205500,0.0,0.0
2019-11-20,156.614,157.9,155.338,156.652,311200,0.0,0.0
2019-11-21,156.433,157.109,154.89,156.061,192600,0.0,0.0
2019-11-22,156.681,156.881,155.176,156.5,124900,0.0,0.0
2019-11-25,156.347,159.271,156.347,157.366,205900,0.0,0.0
2019-11-26,157.062,158.643,156.833,158.29,204000,0.0,0.0
2019-11-27,157.7,159.071,157.271,159.052,167700,0.0,0.0
2019-11-29,158.814,159.519,157.614,157.957,90300,0.0,0.0
2019-12-02,158.776,159.376,156.576,157.49,148400,0.0,0.0
2019-12-03,155.757,156.671,153.633,156.252,168200,0.0,0.0
2019-12-04,156.185,159.062,155.461,156.785,207700,0.0,0.0
2019-12-05,157.728,158.776,157.271,158.09,164200,0.0,0.0
2019-12-06,159.548,160.957,159.014,159.7,252900,0.0,0.0
2019-12-09,159.424,160.253,158.281,158.357,126700,0.0,0.0
2019-12-10,158.395,159.662,156.557,157.766,174500,0.0,0.0
2019-12-11,157.938,159.529,157.071,159.071,341400,0.0,0.0
2019-12-12,156.881,158.157,153.337,155.261,719700,0.0,0.0
2019-12-13,154.595,157.29,152.023,153.852,522600,0.0,0.0
2019-12-16,152.918,157.519,152.918,156.985,482800,0.0,0.0
2019-12-17,157.081,159.548,156.747,158.919,330500,0.0,0.0
2019-12-18,157.976,158.328,155.318,156.071,311900,0.0,0.0
2019-12-19,155.431,156.758,154.868,156.243,394400,0.38,0.0
2019-12-20,157.054,157.799,155.527,156.949,1190000,0.0,0.0
2019-12-23,157.274,157.503,155.87,156.472,252200,0.0,0.0
2019-12-24,156.93,157.312,155.813,155.89,87400,0.0,0.0
2019-12-26,155.489,156.415,154.944,155.489,207500,0.0,0.0
2019-12-27,155.746,157.684,154.839,155.431,289500,0.0,0.0
2019-12-30,155.336,157.341,154.906,155.966,230000,0.0,0.0
2019-12-31,156.147,157.341,155.279,155.47,227100,0.0,0.0
2020-01-02,155.832,157.751,154.887,157.751,251900,0.0,0.0
2020-01-03,155.46,156.94,155.164,156.634,163200,0.0,0.0
2020-01-06,156.405,156.481,155.088,156.195,160900,0.0,0.0
2020-01-07,155.498,156.768,154.887,155.632,201200,0.0,0.0
2020-01-08,155.622,156.004,154.362,154.839,197500,0.0,0.0
2020-01-09,155.374,157.217,154.83,157.178,180500,0.0,0.0
2020-01-10,157.274,157.389,156.033,156.205,314800,0.0,0.0
2020-01-13,156.1,157.904,155.851,157.885,128200,0.0,0.0
2020-01-14,157.885,158.334,156.338,157.618,331900,0.0,0.0
2020-01-15,157.942,158.782,156.854,158.477,178300,0.0,0.0
2020-01-16,159.336,160.988,159.336,160.711,193000,0.0,0.0
2020-01-17,160.873,162.449,160.873,161.828,197300,0.0,0.0
2020-01-21,161.312,162.62,160.367,161.074,290100,0.0,0.0
2020-01-22,161.838,163.89,161.838,162.63,563000,0.0,0.0
2020-01-23,162.305,164.769,161.017,164.492,338400,0.0,0.0
2020-01-24,164.501,165.551,162.649,163.241,266900,0.0,0.0
2020-01-27,165.236,166.086,161.207,165.179,297300,0.0,0.0
2020-01-28,165.189,168.75,165.189,167.394,297000,0.0,0.0
2020-01-29,167.528,168.845,166.058,166.105,212500,0.0,0.0
2020-01-30,165.341,166.21,162.783,164.75,309800,0.0,0.0
2020-01-31,164.091,164.1,160.577,161.217,416300,0.0,0.0
2020-02-03,162.162,164.721,161.914,163.9,172200,0.0,0.0
2020-02-04,166.535,170.411,166.535,169.972,203200,0.0,0.0
2020-02-05,172.12,172.12,170.144,170.669,204800,0.0,0.0
2020-02-06,170.698,170.698,167.996,169.571,192400,0.0,0.0
2020-02-07,167.289,169.523,165.523,167.27,199800,0.0,0.0
2020-02-10,166.468,168.253,166.468,167.671,118000,0.0,0.0
2020-02-11,167.843,170.01,167.327,168.96,131900,0.0,0.0
2020-02-12,168.693,170.993,168.664,170.43,132100,0.0,0.0
2020-02-13,169.437,170.621,169.17,169.581,101400,0.0,0.0
2020-02-14,169.561,170.545,168.435,169.456,143300,0.0,0.0
2020-02-18,168.607,168.673,164.253,164.769,309400,0.0,0.0
2020-02-19,165.246,167.547,163.021,163.728,424400,0.0,0.0
2020-02-20,162.124,167.91,162.124,164.31,377000,0.0,0.0
2020-02-21,163.451,164.081,162.22,162.496,291900,0.0,0.0
2020-02-24,156.87,158.363,154.803,157.482,271800,0.38,0.0
2020-02-25,157.741,159.08,149.99,150.382,317800,0.0,0.0
2020-02-26,151.827,153.129,148.583,148.708,244100,0.0,0.0
2020-02-27,145.847,148.086,142.938,143.014,259000,0.0,0.0
2020-02-28,138.469,140.967,136.316,139.034,486300,0.0,0.0
2020-03-02,140.144,141.943,137.34,141.531,513500,0.0,0.0
2020-03-03,142.077,144.67,137.311,138.555,367800,0.0,0.0
2020-03-04,141.254,143.014,139.024,141.713,385300,0.0,0.0
2020-03-05,137.943,139.35,134.632,136.9,312100,0.0,0.0
2020-03-06,132.288,137.723,131.781,136.976,322300,0.0,0.0
2020-03-09,127.456,129.953,124.394,126.202,338800,0.0,0.0
